"Step","MAMO - ViT-S, BERT-S - itm_loss","MAMO - ViT-S, BERT-S - itm_loss__MIN","MAMO - ViT-S, BERT-S - itm_loss__MAX"
"0","0.6367442476915098","0.6367442476915098","0.6367442476915098"
"1","0.590863519141723","0.590863519141723","0.590863519141723"
"2","0.5070066723422765","0.5070066723422765","0.5070066723422765"
"3","0.42312650010729375","0.42312650010729375","0.42312650010729375"
"4","0.35635995741595816","0.35635995741595816","0.35635995741595816"
"5","0.30517194141503756","0.30517194141503756","0.30517194141503756"
"6","0.26305695264683426","0.26305695264683426","0.26305695264683426"
"7","0.22610608465146104","0.22610608465146104","0.22610608465146104"
"8","0.19708128052583046","0.19708128052583046","0.19708128052583046"
"9","0.17303351501235892","0.17303351501235892","0.17303351501235892"
"10","0.1552302061865497","0.1552302061865497","0.1552302061865497"
"11","0.14773867362623258","0.14773867362623258","0.14773867362623258"
"12","0.14151673346590238","0.14151673346590238","0.14151673346590238"
"13","0.14028868846679113","0.14028868846679113","0.14028868846679113"
"14","0.137708751947023","0.137708751947023","0.137708751947023"
