"Step","MAMO - ViT-S, BERT-S - mim_loss","MAMO - ViT-S, BERT-S - mim_loss__MIN","MAMO - ViT-S, BERT-S - mim_loss__MAX"
"0","12.47318012520306","12.47318012520306","12.47318012520306"
"1","8.614253507395757","8.614253507395757","8.614253507395757"
"2","8.603009717500738","8.603009717500738","8.603009717500738"
"3","8.997142267889885","8.997142267889885","8.997142267889885"
"4","9.395190566521777","9.395190566521777","9.395190566521777"
"5","9.486000879642429","9.486000879642429","9.486000879642429"
"6","9.513484052283175","9.513484052283175","9.513484052283175"
"7","9.46400552203054","9.46400552203054","9.46400552203054"
"8","9.44371811559388","9.44371811559388","9.44371811559388"
"9","9.40341997746203","9.40341997746203","9.40341997746203"
"10","9.38487914190791","9.38487914190791","9.38487914190791"
"11","9.380543556061902","9.380543556061902","9.380543556061902"
"12","9.370080051636712","9.370080051636712","9.370080051636712"
"13","9.362257244885164","9.362257244885164","9.362257244885164"
"14","9.342954948041552","9.342954948041552","9.342954948041552"
