"Step","MAMO - ViT-S, BERT-S - mlm_loss","MAMO - ViT-S, BERT-S - mlm_loss__MIN","MAMO - ViT-S, BERT-S - mlm_loss__MAX"
"0","4.0058046980932955","4.0058046980932955","4.0058046980932955"
"1","3.0822022185271973","3.0822022185271973","3.0822022185271973"
"2","2.8816926130626785","2.8816926130626785","2.8816926130626785"
"3","2.726414519221005","2.726414519221005","2.726414519221005"
"4","2.598985942288947","2.598985942288947","2.598985942288947"
"5","2.501934504840328","2.501934504840328","2.501934504840328"
"6","2.42325176694076","2.42325176694076","2.42325176694076"
"7","2.3643867170313664","2.3643867170313664","2.3643867170313664"
"8","2.296632186850517","2.296632186850517","2.296632186850517"
"9","2.2623145650507674","2.2623145650507674","2.2623145650507674"
"10","2.230458454135867","2.230458454135867","2.230458454135867"
"11","2.2087156459403148","2.2087156459403148","2.2087156459403148"
"12","2.2117598976700767","2.2117598976700767","2.2117598976700767"
"13","2.1967950487357744","2.1967950487357744","2.1967950487357744"
"14","2.1937471374938378","2.1937471374938378","2.1937471374938378"
