"Step","MAMO - ViT-S, BERT-S - mrm_loss","MAMO - ViT-S, BERT-S - mrm_loss__MIN","MAMO - ViT-S, BERT-S - mrm_loss__MAX"
"0","0.19543866923751865","0.19543866923751865","0.19543866923751865"
"1","0.0001757653354633651","0.0001757653354633651","0.0001757653354633651"
"2","0.00003764535706006877","0.00003764535706006877","0.00003764535706006877"
"3","0.000016733412865988407","0.000016733412865988407","0.000016733412865988407"
"4","0.000007951052172313433","0.000007951052172313433","0.000007951052172313433"
"5","0.0000035569629026214582","0.0000035569629026214582","0.0000035569629026214582"
"6","0.0000017754217842990302","0.0000017754217842990302","0.0000017754217842990302"
"7","9.273850634033307e-7","9.273850634033307e-7","9.273850634033307e-7"
"8","7.439765722521527e-7","7.439765722521527e-7","7.439765722521527e-7"
"9","4.5985050926296146e-7","4.5985050926296146e-7","4.5985050926296146e-7"
"10","3.689086354460797e-7","3.689086354460797e-7","3.689086354460797e-7"
"11","3.3467062903703294e-7","3.3467062903703294e-7","3.3467062903703294e-7"
"12","3.325668363840422e-7","3.325668363840422e-7","3.325668363840422e-7"
"13","2.88167689458089e-7","2.88167689458089e-7","2.88167689458089e-7"
"14","2.2951674767581179e-7","2.2951674767581179e-7","2.2951674767581179e-7"
