"Step","MAMO - ViT-S, BERT-S - pretrain_loss","MAMO - ViT-S, BERT-S - pretrain_loss__MIN","MAMO - ViT-S, BERT-S - pretrain_loss__MAX"
"0","27.645758144118627","27.645758144118627","27.645758144118627"
"1","13.403432694592277","13.403432694592277","13.403432694592277"
"2","12.774066051531122","12.774066051531122","12.774066051531122"
"3","12.651841787846967","12.651841787846967","12.651841787846967"
"4","12.679836043453154","12.679836043453154","12.679836043453154"
"5","12.523358480098782","12.523358480098782","12.523358480098782"
"6","12.36288339361144","12.36288339361144","12.36288339361144"
"7","12.175093889394239","12.175093889394239","12.175093889394239"
"8","12.02763084636312","12.02763084636312","12.02763084636312"
"9","11.909962710917666","11.909962710917666","11.909962710917666"
"10","11.832290971933967","11.832290971933967","11.832290971933967"
"11","11.793270703737978","11.793270703737978","11.793270703737978"
"12","11.776236388953137","11.776236388953137","11.776236388953137"
"13","11.75141231781753","11.75141231781753","11.75141231781753"
"14","11.725158869391795","11.725158869391795","11.725158869391795"
