"Step","MAMO - ViT-S, BERT-S - mrm_loss","MAMO - ViT-S, BERT-S - mrm_loss__MIN","MAMO - ViT-S, BERT-S - mrm_loss__MAX"
"0","4.265389869809118","4.265389869809118","4.265389869809118"
"1","0.045294287374732435","0.045294287374732435","0.045294287374732435"
"2","0.011781656029023846","0.011781656029023846","0.011781656029023846"
"3","0.004997040171473707","0.004997040171473707","0.004997040171473707"
"4","0.0012319608535732798","0.0012319608535732798","0.0012319608535732798"
"5","0.00030553526422454807","0.00030553526422454807","0.00030553526422454807"
"6","0.00009761402813556612","0.00009761402813556612","0.00009761402813556612"
"7","0.00003060613178279092","0.00003060613178279092","0.00003060613178279092"
"8","0.000012440930250201083","0.000012440930250201083","0.000012440930250201083"
"9","0.000004608672078013515","0.000004608672078013515","0.000004608672078013515"
"10","0.00000252631515894072","0.00000252631515894072","0.00000252631515894072"
"11","0.000001003180379820729","0.000001003180379820729","0.000001003180379820729"
"12","0.0000010066956008828395","0.0000010066956008828395","0.0000010066956008828395"
"13","0.000007038057910234671","0.000007038057910234671","0.000007038057910234671"
"14","0.0000015061428289483307","0.0000015061428289483307","0.0000015061428289483307"
"15","0.0000010791726515317742","0.0000010791726515317742","0.0000010791726515317742"
"16","0.000001112238949720248","0.000001112238949720248","0.000001112238949720248"
"17","5.866780934270767e-7","5.866780934270767e-7","5.866780934270767e-7"
"18","3.5906540036482025e-7","3.5906540036482025e-7","3.5906540036482025e-7"
"19","2.574846841954719e-7","2.574846841954719e-7","2.574846841954719e-7"
"20","2.0795756964315687e-7","2.0795756964315687e-7","2.0795756964315687e-7"
"21","1.6536194293937822e-7","1.6536194293937822e-7","1.6536194293937822e-7"
"22","1.3274726031667818e-7","1.3274726031667818e-7","1.3274726031667818e-7"
"23","1.955983663307705e-7","1.955983663307705e-7","1.955983663307705e-7"
"24","1.1443758016501649e-7","1.1443758016501649e-7","1.1443758016501649e-7"
"25","8.441642349251024e-8","8.441642349251024e-8","8.441642349251024e-8"
"26","9.17462197137486e-8","9.17462197137486e-8","9.17462197137486e-8"
"27","8.71840304117711e-8","8.71840304117711e-8","8.71840304117711e-8"
"28","9.283828309698482e-8","9.283828309698482e-8","9.283828309698482e-8"
"29","8.521983427221076e-8","8.521983427221076e-8","8.521983427221076e-8"
"30","5.897469088512248e-8","5.897469088512248e-8","5.897469088512248e-8"
"31","1.3309376658989657e-7","1.3309376658989657e-7","1.3309376658989657e-7"
"32","7.595997796849006e-8","7.595997796849006e-8","7.595997796849006e-8"
"33","8.98978672773581e-8","8.98978672773581e-8","8.98978672773581e-8"
"34","1.1355524937518909e-7","1.1355524937518909e-7","1.1355524937518909e-7"
