"Step","MAMO - ViT-S, BERT-S - mlm_loss","MAMO - ViT-S, BERT-S - mlm_loss__MIN","MAMO - ViT-S, BERT-S - mlm_loss__MAX"
"0","5.09310031821006","5.09310031821006","5.09310031821006"
"1","3.0468623664456977","3.0468623664456977","3.0468623664456977"
"2","2.7801251069487245","2.7801251069487245","2.7801251069487245"
"3","2.6697998494041357","2.6697998494041357","2.6697998494041357"
"4","2.610651521322902","2.610651521322902","2.610651521322902"
"5","2.5378486369946103","2.5378486369946103","2.5378486369946103"
"6","2.476134482728414","2.476134482728414","2.476134482728414"
"7","2.4145621892528415","2.4145621892528415","2.4145621892528415"
"8","2.357963209065945","2.357963209065945","2.357963209065945"
"9","2.3130686875475472","2.3130686875475472","2.3130686875475472"
"10","2.2673536279195194","2.2673536279195194","2.2673536279195194"
"11","2.228995131899168","2.228995131899168","2.228995131899168"
"12","2.1883608220113873","2.1883608220113873","2.1883608220113873"
"13","2.1530854945569993","2.1530854945569993","2.1530854945569993"
"14","2.1178350887357507","2.1178350887357507","2.1178350887357507"
"15","2.085038620344012","2.085038620344012","2.085038620344012"
"16","2.0471124322879453","2.0471124322879453","2.0471124322879453"
"17","2.0190847831706713","2.0190847831706713","2.0190847831706713"
"18","1.9877460169139838","1.9877460169139838","1.9877460169139838"
"19","1.9614032882562487","1.9614032882562487","1.9614032882562487"
"20","1.928971350876925","1.928971350876925","1.928971350876925"
"21","1.911136331225746","1.911136331225746","1.911136331225746"
"22","1.8774428011459896","1.8774428011459896","1.8774428011459896"
"23","1.856594711147571","1.856594711147571","1.856594711147571"
"24","1.8426781283052012","1.8426781283052012","1.8426781283052012"
"25","1.827410622550025","1.827410622550025","1.827410622550025"
"26","1.8065074689074732","1.8065074689074732","1.8065074689074732"
"27","1.7975924949885889","1.7975924949885889","1.7975924949885889"
"28","1.794284180161812","1.794284180161812","1.794284180161812"
"29","1.783128274349859","1.783128274349859","1.783128274349859"
"30","1.7823196485941113","1.7823196485941113","1.7823196485941113"
"31","1.7719412796390026","1.7719412796390026","1.7719412796390026"
"32","1.778407201815367","1.778407201815367","1.778407201815367"
"33","1.770977035993406","1.770977035993406","1.770977035993406"
"34","1.7642873040049454","1.7642873040049454","1.7642873040049454"
