"Step","MAMO - ViT-S, BERT-S - mim_loss","MAMO - ViT-S, BERT-S - mim_loss__MIN","MAMO - ViT-S, BERT-S - mim_loss__MAX"
"0","24.76261248003563","24.76261248003563","24.76261248003563"
"1","12.141426293490108","12.141426293490108","12.141426293490108"
"2","11.507903549803745","11.507903549803745","11.507903549803745"
"3","10.866958716225014","10.866958716225014","10.866958716225014"
"4","10.401435003171215","10.401435003171215","10.401435003171215"
"5","10.109968120611986","10.109968120611986","10.109968120611986"
"6","9.906818165993753","9.906818165993753","9.906818165993753"
"7","9.79033979649893","9.79033979649893","9.79033979649893"
"8","9.670244706802839","9.670244706802839","9.670244706802839"
"9","9.569705002305788","9.569705002305788","9.569705002305788"
"10","9.486811486788797","9.486811486788797","9.486811486788797"
"11","9.415459268827513","9.415459268827513","9.415459268827513"
"12","9.374534711728344","9.374534711728344","9.374534711728344"
"13","9.3170290039581","9.3170290039581","9.3170290039581"
"14","9.291466675915764","9.291466675915764","9.291466675915764"
"15","9.24901204096566","9.24901204096566","9.24901204096566"
"16","9.147529331857086","9.147529331857086","9.147529331857086"
"17","9.091304581247382","9.091304581247382","9.091304581247382"
"18","9.092312362482351","9.092312362482351","9.092312362482351"
"19","9.026842233046745","9.026842233046745","9.026842233046745"
"20","8.973040413667118","8.973040413667118","8.973040413667118"
"21","8.930737048466439","8.930737048466439","8.930737048466439"
"22","8.907872371724087","8.907872371724087","8.907872371724087"
"23","8.903849934226942","8.903849934226942","8.903849934226942"
"24","8.884736781191847","8.884736781191847","8.884736781191847"
"25","8.86186432312362","8.86186432312362","8.86186432312362"
"26","8.850360374164497","8.850360374164497","8.850360374164497"
"27","8.827739475263712","8.827739475263712","8.827739475263712"
"28","8.822824673429592","8.822824673429592","8.822824673429592"
"29","8.823593798298175","8.823593798298175","8.823593798298175"
"30","8.82309770668279","8.82309770668279","8.82309770668279"
"31","8.814983785415475","8.814983785415475","8.814983785415475"
"32","8.810227321715661","8.810227321715661","8.810227321715661"
"33","8.798060088481718","8.798060088481718","8.798060088481718"
"34","8.80515444184023","8.80515444184023","8.80515444184023"
