"Step","MAMO - ViT-S, BERT-S - itc_loss","MAMO - ViT-S, BERT-S - itc_loss__MIN","MAMO - ViT-S, BERT-S - itc_loss__MAX"
"0","2.8470174196223086","2.8470174196223086","2.8470174196223086"
"1","1.0350037965223207","1.0350037965223207","1.0350037965223207"
"2","0.727898562680486","0.727898562680486","0.727898562680486"
"3","0.6092943506346586","0.6092943506346586","0.6092943506346586"
"4","0.5456204004947421","0.5456204004947421","0.5456204004947421"
"5","0.45144367261419016","0.45144367261419016","0.45144367261419016"
"6","0.36445506430656005","0.36445506430656005","0.36445506430656005"
"7","0.30246395127484466","0.30246395127484466","0.30246395127484466"
"8","0.2544933442825358","0.2544933442825358","0.2544933442825358"
"9","0.21782313926442998","0.21782313926442998","0.21782313926442998"
"10","0.18685523342893567","0.18685523342893567","0.18685523342893567"
"11","0.16355840993892246","0.16355840993892246","0.16355840993892246"
"12","0.14377986190722233","0.14377986190722233","0.14377986190722233"
"13","0.1258002231119485","0.1258002231119485","0.1258002231119485"
"14","0.11212330584028787","0.11212330584028787","0.11212330584028787"
"15","0.10065995454862188","0.10065995454862188","0.10065995454862188"
"16","0.09066494465495287","0.09066494465495287","0.09066494465495287"
"17","0.08080294813468826","0.08080294813468826","0.08080294813468826"
"18","0.07222235384111565","0.07222235384111565","0.07222235384111565"
"19","0.06512442937664135","0.06512442937664135","0.06512442937664135"
"20","0.06088665709512297","0.06088665709512297","0.06088665709512297"
"21","0.05680166977060678","0.05680166977060678","0.05680166977060678"
"22","0.05044977334198531","0.05044977334198531","0.05044977334198531"
"23","0.04880288327710283","0.04880288327710283","0.04880288327710283"
"24","0.04516205347930381","0.04516205347930381","0.04516205347930381"
"25","0.04133579928255521","0.04133579928255521","0.04133579928255521"
"26","0.040978293503418445","0.040978293503418445","0.040978293503418445"
"27","0.038999137814953636","0.038999137814953636","0.038999137814953636"
"28","0.038055584838897254","0.038055584838897254","0.038055584838897254"
"29","0.03631022824467175","0.03631022824467175","0.03631022824467175"
"30","0.037206815487003594","0.037206815487003594","0.037206815487003594"
"31","0.03750877997315273","0.03750877997315273","0.03750877997315273"
"32","0.036809382708694924","0.036809382708694924","0.036809382708694924"
"33","0.037276409288105085","0.037276409288105085","0.037276409288105085"
"34","0.03639939921413957","0.03639939921413957","0.03639939921413957"
